row_index,length,pct_A,pct_T,pct_C,pct_G,first_50_pA,first_50_pT,first_50_pC,first_50_pG,last_50_pA,last_50_pT,last_50_pC,last_50_pG
29,104.0,0.3076923076923077,0.2980769230769231,0.18269230769230768,0.21153846153846154,0.32,0.28,0.18,0.22,0.3,0.34,0.16,0.2
30,216.0,0.25925925925925924,0.30092592592592593,0.18055555555555555,0.25925925925925924,0.32,0.38,0.14,0.16,0.28,0.28,0.14,0.3
31,126.0,0.31746031746031744,0.2698412698412698,0.23015873015873015,0.18253968253968253,0.34,0.24,0.22,0.2,0.26,0.3,0.26,0.18
32,87.0,0.2988505747126437,0.3448275862068966,0.21839080459770116,0.13793103448275862,0.28,0.4,0.24,0.08,0.32,0.3,0.2,0.18
33,106.0,0.2641509433962264,0.330188679245283,0.20754716981132076,0.19811320754716982,0.22,0.4,0.14,0.24,0.3,0.28,0.3,0.12
34,295.0,0.18305084745762712,0.2135593220338983,0.29152542372881357,0.31186440677966104,0.16,0.24,0.36,0.24,0.28,0.22,0.12,0.38
35,85.0,0.2,0.21176470588235294,0.27058823529411763,0.3176470588235294,0.22,0.18,0.34,0.26,0.2,0.24,0.14,0.42
36,295.0,0.17627118644067796,0.23728813559322035,0.33220338983050846,0.2542372881355932,0.32,0.22,0.16,0.3,0.12,0.34,0.32,0.22
37,264.0,0.21212121212121213,0.2840909090909091,0.24242424242424243,0.26136363636363635,0.22,0.38,0.2,0.2,0.24,0.16,0.34,0.26
38,113.0,0.24778761061946902,0.25663716814159293,0.22123893805309736,0.2743362831858407,0.24,0.32,0.26,0.18,0.24,0.2,0.2,0.36
39,855.0,0.26198830409356727,0.23391812865497075,0.2830409356725146,0.22105263157894736,0.14,0.16,0.32,0.38,0.28,0.36,0.24,0.12
40,295.0,0.2711864406779661,0.2983050847457627,0.1864406779661017,0.2440677966101695,0.34,0.2,0.18,0.28,0.26,0.38,0.1,0.26
